tempo (t);rugosidade (w)
0;0.0
1;0.9501279609319149
2;1.06871167225028
3;1.1299592824743179
4;1.1711409276082883
5;1.2191325970856526
6;1.2293176746216403
7;1.2809753142082687
8;1.33996687345066
9;1.360284552892484
10;1.3381045141441932
11;1.3712400416667843
12;1.3946817404365885
13;1.4230030414093813
14;1.5080829600734307
15;1.5097356542242453
16;1.5472604701838395
17;1.5391807258191506
18;1.5552982409987692
19;1.479704762626198
20;1.3821086928685251
21;1.4421513439140559
22;1.4282507655788454
23;1.5294286906229881
24;1.6057875376151416
25;1.6742140002709456
26;1.6365525470945002
27;1.7255596511641333
28;1.6742140002709456
29;1.6150785748664114
30;1.6319747687649115
31;1.7081293088232072
32;1.6831273587389817
33;1.7212186137180472
34;1.7754209925389892
35;1.78941191805264
36;1.8046766622754327
37;1.8334655737087244
38;1.830743277368764
39;1.8804679207573594
40;1.8831183349279053
41;1.8698286957956731
42;1.885765023985169
43;1.926323750572564
44;1.894999325564596
45;1.9068062891754114
46;1.981208477777882
47;1.9596935991357847
48;1.9736417723048258
49;1.9340755877297993
50;1.9289111577167286
51;1.9081136642273102
52;1.913334231204588
53;2.03828689500133
54;2.0541303200067595
55;2.023552097740339
56;2.075867754137611
57;2.0012464943559727
58;2.0284755894409
59;2.0722606832037616
60;2.1467367800903117
61;2.211960234678847
62;2.1732905972166088
63;2.1292406710871066
64;2.0818656509315576
65;2.079468568212691
66;2.0782689900521705
67;2.116318263522456
68;2.0961905835571146
69;2.1432489844804103
70;2.113960248011907
71;2.045614492852107
72;2.0650276395534517
73;2.108053669694919
74;2.0902337923622722
75;2.03093285937811
76;2.007467356405184
77;1.9887463939505639
78;1.9698475199543553
79;2.023552097740339
80;1.9975046777556893
81;1.9340755877297993
82;1.9824667875127246
83;1.9340755877297993
84;1.8564439231768488
85;1.9094201441230902
86;1.9837242990806692
87;1.9054980171248757
88;1.9392262641942142
89;1.914637148775538
90;1.918540592478442
91;1.9660459451279653
92;2.0173808357394933
93;1.9786894577155894
94;1.9507655636414327
95;1.9647771189582917
96;1.930203560647467
97;1.8963148407008643
98;1.9584206573976122
99;1.9987527282853
100;2.029704596272491
101;2.0650276395534517
102;2.023552097740339
103;2.104501765453763
104;2.0914265078900662
105;2.108053669694919
106;2.089040395866269
107;2.043174880185845
108;2.035838501450944
109;2.0698524770640008
110;2.0626109884744532
111;2.1617855370571397
112;2.113960248011907
113;2.106870366952401
114;2.183593323056918
115;2.292783865819366
116;2.2938712663385594
117;2.2643281663415706
118;2.3198159699992025
119;2.4413315527849635
120;2.4063506998717097
121;2.459649428622034
122;2.476825254563972
123;2.519747444099287
124;2.5276525535408236
125;2.5246910381084726
126;2.5266657674194617
127;2.5668129418218695
128;2.6556296950641918
129;2.690150131623385
