tempo (t);rugosidade (w)
0;0.0
1;1.4040185032707175
2;1.6865563153574075
3;1.959298527101233
4;2.177621690596854
5;2.407047740642864
6;2.627866805515986
7;2.8133704149680705
8;2.9886313843514216
9;3.1301160495176283
10;3.29934788097969
11;3.439310536197226
12;3.612214686402524
13;3.754322929915086
14;3.883210710431703
15;3.9512962475910807
16;4.049968962180865
17;4.1443353270380605
18;4.2044858706626815
19;4.342316798439946
20;4.438207852772304
21;4.575004735767201
22;4.7026511852245445
23;4.82006010210273
24;4.924666718273553
25;5.034794611204549
26;5.12991739379963
27;5.199577170143965
28;5.2588226334721115
29;5.3680294487268325
30;5.432338912357485
31;5.510083879558926
32;5.640156726108379
33;5.719008488251663
34;5.846036256520708
35;5.928050808108033
36;5.995521959993726
37;6.114256693636414
38;6.159345666391941
39;6.268906444308713
40;6.400441115341633
41;6.460469329702369
42;6.536115015841773
43;6.5763188805545525
44;6.679791369648922
45;6.731951835485971
46;6.819434329337178
47;6.860891349247824
48;6.949896534219216
49;7.033070804912189
50;7.096726202852347
51;7.173150715899141
52;7.263317261346611
53;7.313195145453034
54;7.375195187922996
55;7.423311863690558
56;7.522441960018624
57;7.596310620334033
58;7.648590518156171
59;7.754267830137901
60;7.837512894392512
61;7.907491368168793
62;7.99820404575468
63;8.060049457150848
64;8.109725348107444
65;8.194085403676745
66;8.251436003958364
67;8.270565191970157
68;8.354347852763368
69;8.394028394017694
70;8.472979427996858
71;8.50997871113436
72;8.57585472109787
73;8.582843890239548
74;8.661804558728884
75;8.72503129753903
76;8.78339527060579
77;8.81661312994242
78;8.850129773165692
79;8.894411498382615
80;8.952368928479503
81;9.035498041583697
82;9.062486942418817
83;9.100658561806853
84;9.138055589813591
85;9.180676553841693
86;9.277995432768247
87;9.336916714923166
88;9.407095279574914
89;9.430372079166881
90;9.53248170050137
91;9.588471633025732
92;9.681111638051037
93;9.711773829001782
94;9.797576469952768
95;9.830607787369091
96;9.866377710147754
97;9.872136955591543
98;9.900756758185686
99;9.928916626910254
100;10.01560306768864
101;10.066673422927385
102;10.12661874692
103;10.15175298628596
104;10.148245326065055
105;10.193628216433329
106;10.217191669998492
107;10.286161665017506
108;10.357989430114008
109;10.423691364457294
110;10.47491873707893
111;10.538706504631191
112;10.560080631115712
113;10.627648290303268
114;10.701211498951144
115;10.769981647364686
116;10.820262298224268
117;10.824763983705864
118;10.865712594263515
119;10.900148701917903
120;10.973365062140607
121;11.011095420575755
122;11.041514981732245
123;11.059094007866477
124;11.116104090177467
125;11.201075169237468
126;11.228365970768701
127;11.271616750045224
128;11.319283154998624
129;11.358889020284535
130;11.401315987468122
131;11.438726861188353
