tempo (t);rugosidade (w)
0;0.0
1;1.4212582563387226
2;1.7004075299145973
3;1.9151801758887734
4;2.1550393863116066
5;2.3802139036683196
6;2.590195669826898
7;2.7587110924099623
8;2.919648021472518
9;3.0464567740909265
10;3.184309221554481
11;3.360191421929707
12;3.54743141764874
13;3.6712603162419555
14;3.781154399024645
15;3.94753356204487
16;4.08156538964679
17;4.211333617330077
18;4.329153847313337
19;4.41905984205243
20;4.544961952652758
21;4.63579946763445
22;4.730964222218353
23;4.847229153023673
24;4.94488979464139
25;5.0656119540893805
26;5.127829142079721
27;5.219525427937285
28;5.274724788839936
29;5.424547709503913
30;5.507230521322062
31;5.621654227598994
32;5.692494565831615
33;5.751404322893085
34;5.830951894845301
35;5.936198441349577
36;5.995837091013442
37;6.092503733918859
38;6.186046075034274
39;6.328699270539629
40;6.361949936242891
41;6.430459663635482
42;6.493442385013563
43;6.588492976422949
44;6.652419232725796
45;6.742638284544467
46;6.828375839410474
47;6.895691538761925
48;6.947457523615884
49;6.9995541145666245
50;7.112086387553232
51;7.118052168020874
52;7.193248325559083
53;7.261823627505955
54;7.294414944892062
55;7.33792842075438
56;7.418134139213566
57;7.504971302888408
58;7.537173791551111
59;7.606915836219423
60;7.661861382861692
61;7.7333849927242655
62;7.7936880251719
63;7.856706701904451
64;7.869567166671973
65;7.957126062908877
66;7.997190517911605
67;8.087690435425673
68;8.183903692641852
69;8.231512786029478
70;8.36316756888611
71;8.409464972493524
72;8.409464972493524
73;8.470702980789968
74;8.570337603717714
75;8.617839987052843
76;8.632892994135267
77;8.710634652821305
78;8.767919051541366
79;8.83487019349069
80;8.891775436434786
81;8.934635714779043
82;8.956128332411094
83;9.07521628181928
84;9.202805846896934
85;9.293655629315335
86;9.342023776446963
87;9.379899884737064
88;9.419876984175735
89;9.499852157335711
90;9.557761844995039
91;9.645398274056316
92;9.68273235546999
93;9.691495944020138
94;9.761832987247393
95;9.828999870380256
96;9.908066802625696
97;9.892430175721389
98;9.927577952099206
99;9.961473851713762
100;10.041611302627615
101;10.11741308046178
102;10.151413005955288
103;10.145138993306505
104;10.169966309265018
105;10.206115519995384
106;10.25115321913088
107;10.302660771678337
108;10.344261468000123
109;10.466282585572047
110;10.501411830651811
111;10.570847717811404
112;10.642176943059665
113;10.671113305369312
114;10.715827723291184
115;10.773574736791797
116;10.815095567531129
117;10.901671520806593
118;10.966069562424819
119;10.972101723449015
120;10.997332555934541
121;11.016047765171695
122;11.09813224492494
123;11.11319580942524
124;11.151325478394648
125;11.1581526041759
126;11.24808209480557
127;11.295818058820597
128;11.388607225285943
129;11.378846703845385
130;11.375883991113653
131;11.440013444724645
132;11.500529217590127
133;11.557055986329782
134;11.637577432154352
135;11.667362205056035
136;11.729791770584566
137;11.802367565442653
138;11.838488616968062
139;11.852084631505107
140;11.920355758040621
141;12.004680735053382
142;12.095747852235881
143;12.190538890956999
144;12.237251002977045
145;12.291304031976912
146;12.312108470171687
147;12.333788836613317
148;12.317380106343427
149;12.358664138000721
150;12.369367341923784
151;12.417015428829918
152;12.427668378394468
153;12.440620511116919
154;12.40273015734057
155;12.404340587803416
156;12.465282624608268
157;12.460273952297042
158;12.504281414095589
159;12.608678619480248
160;12.700821289319087
161;12.760640953849405
162;12.794935015366068
163;12.833807569427268
164;12.844795212261806
165;12.947314733237086
166;12.973996849744434
167;12.969665944295432
168;12.934194341779135
169;12.975825020256115
170;12.996782469396186
171;13.11516262334189
172;13.194975020543202
173;13.198475302553318
174;13.254354100510625
175;13.321998927740221
176;13.404212355223267
177;13.443737664689971
178;13.42915010004312
179;13.442901862577566
180;13.425152014659986
181;13.508955738456267
182;13.572940694673488
183;13.601791759770284
184;13.580480962434144
185;13.644222000813775
186;13.734689580680481
187;13.831155913647112
188;13.893836821518068
189;13.9423639713147
190;14.04291620819771
191;13.93940874301593
192;14.00864723138652
193;14.03171011989946
194;14.067342937752658
195;14.088537588613226
196;14.08401755756495
197;14.075948798634244
198;14.100849533026677
199;14.169739697543136
200;14.10385945178501
201;14.130213068043759
202;14.166743775952297
203;14.144518928911548
204;14.161367151532346
205;14.168946721122833
206;14.185501909325438
207;14.170708830684687
208;14.192716740969232
209;14.196410722546947
210;14.211528439062498
211;14.328149920691532
212;14.45558007331183
213;14.564249150174703
214;14.60738786623593
215;14.647075782004928
216;14.655681960687941
217;14.651166477487763
218;14.70899577823024
219;14.734606008720075
220;14.78358235057068
221;14.826924929715222
222;14.819429160706175
223;14.859390907010315
224;14.89346269211087
225;14.884742374510738
226;14.920011446813092
227;14.954028597200576
228;14.940497880053066
229;14.95569820716907
230;15.034375924052114
231;15.079150308703055
232;15.166821005923353
233;15.174062895910202
234;15.199957290169314
235;15.262088187080176
236;15.237200682677733
237;15.27288197575014
238;15.338950282053393
239;15.387057810540613
240;15.432588700781558
241;15.496042747229694
242;15.53667482665334
243;15.552416305315155
244;15.597624583064155
245;15.667742412664722
246;15.69099235067094
247;15.747143688049745
248;15.784203295001227
249;15.820702630109766
250;15.909936906993671
