tempo (t);rugosidade (w)
0;0.0
1;1.9818862410463183
2;2.373191692830672
3;2.7089266704451154
4;3.03245972518216
5;3.193270317776591
6;3.2909460618536666
7;3.4813999398161584
8;3.544495930272433
9;3.4166682513892077
10;3.2793354115682942
11;3.46119227779414
12;3.6403838729870777
13;3.9306379388178323
14;4.319554150111002
15;4.317903540249187
16;4.502523294984783
17;4.9836643122782505
18;5.003115288995971
19;5.335597648091564
20;5.135316538789554
21;5.282893397508543
22;5.300915062747451
23;5.295603343053667
24;5.273383078709946
25;5.536949114798134
26;5.398177313589539
27;4.903206564887414
28;4.374998895005992
29;4.418991620651987
30;4.482109405199763
31;4.543321064256139
32;4.164853693345434
33;3.9815482437944856
34;3.904353865805199
35;3.866033393883031
36;4.186117073029041
37;4.307377525938679
38;4.323277168664086
39;4.205007381331517
40;4.109970694834476
41;4.150309468752738
42;3.64849992384062
43;3.4953285043657667
44;3.2599177422969476
45;3.4791881067899517
46;3.5609937125591236
47;3.746146423910904
48;4.222043093101131
49;4.300136737476035
50;4.214426656705673
51;4.471156208482039
52;4.31355046979905
53;4.04743415322259
54;3.9172841637951565
55;4.078503674506716
56;4.199122867411999
57;4.335152213502974
58;4.2146204654371315
59;4.097322272014678
60;4.127074837483597
61;4.490352245154297
62;4.4520553135532515
63;4.485239495539029
64;4.605331582328624
65;4.823233623264529
66;4.9718795388522565
67;5.051473862494071
68;5.321690343227915
69;5.054736161701643
70;5.053193444841627
71;5.321522899988277
72;5.420689682754115
73;5.161839595071447
74;5.143359522197029
75;5.579858725403405
76;5.741444422342703
77;5.655073119232128
78;5.591765365692022
79;5.542069718876863
80;5.552831687883799
81;5.553683009091457
82;5.815679935787128
83;6.139166403075453
84;5.718247026035694
85;6.020278759547994
86;5.812589217470485
87;5.658232380648919
88;5.551427391269978
89;5.482894051052779
90;5.469451809501396
91;5.604053065162708
92;5.499553885838735
93;5.482839878235372
94;5.71191514332881
95;5.9432728372105155
96;5.96112917267704
97;5.858614028310324
98;5.550290319490324
99;5.751872092932106
100;5.875775649788404
101;5.524928822536695
102;5.742789323760587
103;5.5579866466168495
104;5.478531425169511
105;5.133706429994185
106;5.008396207714718
107;4.747368897372147
108;4.355635442722255
109;4.2734609803733425
110;4.255520266232838
111;4.5498376072036315
112;4.766257438499332
113;4.131037239788321
114;4.295592802145416
115;4.323265718139686
116;4.749229861526688
117;4.706409811052533
118;4.507676842462906
119;4.56339063046185
120;4.47478075224075
121;4.567624815539616
122;4.676802155747015
123;4.425439552719196
124;4.303502717578664
125;4.387456101805583
126;4.109964672436137
127;4.766158767736587
128;4.742277492090155
129;4.717147329031502
130;4.467368049829926
131;4.714942985787188
132;4.835160571586626
133;4.580774007486147
134;4.787057334399041
135;4.854961811562262
136;5.043205816031004
137;5.408786272021898
138;5.28565231012747
139;5.543311176948753
140;5.451683088170953
141;4.945073421575619
142;4.57389027694565
143;4.939799967831195
144;4.966186000443916
145;5.545775406628971
146;5.393415749063067
147;5.826204153243892
148;5.921881999723824
149;6.115777755608935
150;6.289588365613928
151;6.518795189716966
152;6.370638509905066
153;6.546579377204626
154;6.633051809127288
155;6.612709545000927
156;6.83344516857775
157;7.025717678169561
158;6.901152103018838
159;7.071025806437005
160;6.8705512978766174
161;6.8629275646804295
162;7.1841381731601635
163;7.103181452898633
164;6.8930702854353205
165;6.854165136132436
166;6.620557857304935
167;6.8847345132249815
168;6.983164399827908
169;7.214915012572735
170;7.224017651482794
171;7.231753587067317
172;7.1155097810050165
173;7.300855601404649
174;7.540946204336148
175;6.914581716263347
176;7.132385227724145
177;7.193702985218293
178;7.078152657539926
179;7.337358906438207
180;6.858713757481729
181;7.079121243156351
182;7.226093708663009
183;7.3331578180255805
184;7.204450796859821
185;7.451497416105975
186;7.477179955943411
187;7.091802034576362
188;7.067296830331071
189;6.923264103862809
190;6.991634175346294
191;7.398965099087267
192;7.666858760237114
193;7.577253259672234
194;7.450517441313272
195;7.5682811282128295
196;7.842257484323911
197;7.987044285212758
198;8.266405330773843
199;8.22946330181891
200;8.299333626269803
201;8.357554463832429
202;8.339080219333702
203;7.867479282882009
204;7.6212150435239145
205;7.857877824505405
206;7.9837989712738135
207;8.14624927151347
208;8.222425251885603
209;7.935109714991708
210;8.171129496197732
211;8.429276167941573
212;8.292116082700602
213;8.236140723030063
214;8.113651508932092
215;8.222033905219304
216;8.278798313900367
217;9.004090003502217
218;8.757146038659364
219;8.643616782710764
220;8.38805084895339
221;8.520016340861874
222;8.427699164957145
223;8.334689130074247
224;8.777205176457706
225;8.71651445913043
226;8.985217874044759
227;8.7848976303418
228;8.465632813744934
229;8.16178517598808
230;8.31492285773869
231;8.24192684899614
232;8.079240488935053
233;8.325584873214742
234;8.36349631388166
235;8.840083459302662
236;8.656204594007555
237;8.986537293552113
238;8.410756401593696
239;8.425707666977544
